country,age_span,sleep_hours,adjusted_bedtime,adjusted_wakeup
LVA,10.0,7.666811749447839,-0.06435179004729832,7.3559806085175286
LVA,20.0,7.51582420952436,-0.13984556000903783,7.431474378479268
LVA,30.0,7.599706176148516,-0.09790457669695998,7.38953339516719
LVA,40.0,7.532600602849191,-0.13145736334662209,7.423086181816853
LVA,50.0,7.448718636225036,-0.17339834665869994,7.46502716512893
LVA,60.0,7.431942242900205,-0.18178654332111524,7.4734153617913455
LVA,70.0,7.633258962798178,-0.08112818337212893,7.372757001842359
LVA,80.0,7.918457649320307,0.06147115988893567,7.2301576585812946
LVA,90.0,8.170103549192776,0.1872941098251701,7.104334708645061
LVA,100.0,8.421749449065242,0.31311705976140325,6.978511758708827
LUX,10.0,7.566463081563016,-0.19734867859965272,7.107682634736451
LUX,20.0,7.417451773611011,-0.2718543325756552,7.182188288712453
LUX,30.0,7.500235833584347,-0.23046230258898687,7.140796258725784
LUX,40.0,7.434008585605678,-0.26357592657832146,7.173909882715119
LUX,50.0,7.3512245256323405,-0.30496795656499026,7.215301912701788
LUX,60.0,7.334667713637674,-0.3132463625623236,7.2235803186991205
LUX,70.0,7.5333494575736815,-0.2139054905943198,7.124239446731117
LUX,80.0,7.8148152614830275,-0.07317258863964676,6.983506544776445
LUX,90.0,8.06316744140304,0.051003501320359634,6.859330454816438
LUX,100.0,8.31151962132305,0.1751795912803647,6.735154364856433
ISR,10.0,7.395286802485783,0.38449538544348766,7.5859827624122085
ISR,20.0,7.249646580992629,0.31167527469691075,7.658802873158786
ISR,30.0,7.330557815155493,0.3521308917783426,7.618347256077353
ISR,40.0,7.265828827825201,0.3197663981131967,7.6507117497424995
ISR,50.0,7.1849175936623375,0.2793107810317648,7.691167366823931
ISR,60.0,7.168735346829765,0.27121965761547845,7.699258490240218
ISR,70.0,7.362922308820638,0.3683131386109149,7.602165009244781
ISR,80.0,7.638020504974376,0.5058622366877841,7.464615911167912
ISR,90.0,7.88075420746297,0.627229087932081,7.343249059923615
ISR,100.0,8.123487909951562,0.748595939176377,7.221882208679319
FRA,10.0,7.803383631906341,-0.010445473849714393,7.545892430558615
FRA,20.0,7.6497064925471365,-0.08728404352931651,7.6227310002382165
FRA,30.0,7.735082681080028,-0.04459594926287069,7.580042905971771
FRA,40.0,7.666781730253715,-0.07874642467602744,7.614193381384927
FRA,50.0,7.581405541720822,-0.1214345189424737,7.656881475651374
FRA,60.0,7.564330304014244,-0.12997213779576278,7.665419094504663
FRA,70.0,7.7692331564931845,-0.027520711556292543,7.562967668265193
FRA,80.0,8.059512197505017,0.11761880894962351,7.417828147759277
FRA,90.0,8.315640763103696,0.2456830917489632,7.289763864959937
FRA,100.0,8.57176932870237,0.3737473745483002,7.161699582160599
CHN,10.0,7.39495822380899,0.704085293354947,7.83388365094029
CHN,20.0,7.249324473230696,0.6312684180658,7.906700526229438
CHN,30.0,7.33023211244086,0.6717222376708819,7.866246706624356
CHN,40.0,7.265506001072729,0.6393591819868164,7.898609762308421
CHN,50.0,7.184598361862565,0.5989053623817345,7.939063581913503
CHN,60.0,7.168416834020532,0.5908145984607182,7.9471543458345195
CHN,70.0,7.362595168124924,0.6879037655129142,7.850065178782323
CHN,80.0,7.637681141439482,0.825446752170193,7.712522192125045
CHN,90.0,7.880404059069976,0.94680821098544,7.591160733309797
CHN,100.0,8.123126976700467,1.0681696698006857,7.469799274494552
SAU,10.0,6.923679911060505,4.730428402233569,11.299735316165965
SAU,20.0,6.7873273526369955,4.662252123021814,11.367911595377718
SAU,30.0,6.86307877398339,4.700127833695012,11.330035884704522
SAU,40.0,6.802477636906274,4.669827265156453,11.360336453243079
SAU,50.0,6.7267262155598795,4.631951554483257,11.398212163916277
SAU,60.0,6.711575931290601,4.624376412348617,11.405787306050916
SAU,70.0,6.893379342521948,4.71527811796429,11.314885600435243
SAU,80.0,7.150934175099691,4.844055534253162,11.18610818414637
SAU,90.0,7.378188439138877,4.9576826662727544,11.072481052126777
SAU,100.0,7.605442703178062,5.071309798292347,10.958853920107185
COL,10.0,7.260835003214165,-0.6199947368635461,6.399975927770686
COL,20.0,7.117842628971437,-0.6914909239849101,6.47147211489205
COL,30.0,7.197282836884065,-0.6517708200285963,6.431752010935735
COL,40.0,7.1337306705539625,-0.6835469031936474,6.463528094100787
COL,50.0,7.054290462641335,-0.7232670071499612,6.503248198057101
COL,60.0,7.03840242105881,-0.7312110279412238,6.511192218848363
COL,70.0,7.229058920049114,-0.6358827784460714,6.415863969353211
COL,80.0,7.4991556269520485,-0.5008344249946044,6.280815615901744
COL,90.0,7.737476250689933,-0.38167411312566224,6.161655304032802
COL,100.0,7.9757968744278145,-0.2625138012567214,6.042494992163861
LTU,10.0,7.7110682447974295,-0.03351445575029806,7.4249681730265
LTU,20.0,7.559209132755468,-0.10944401177127878,7.50089772904748
LTU,30.0,7.643575306112114,-0.06726092509295596,7.4587146423691575
LTU,40.0,7.576082367426797,-0.10100739443561431,7.492461111711815
LTU,50.0,7.491716194070151,-0.14319048111393712,7.534644198390138
LTU,60.0,7.474842959398822,-0.1516270984496016,7.543080815725803
LTU,70.0,7.677321775454772,-0.05038769042162701,7.441841407697828
LTU,80.0,7.964166764867367,0.09303480428467086,7.29841891299153
LTU,90.0,8.217265284937307,0.21958406431964067,7.171869652956561
LTU,100.0,8.470363805007242,0.34613332435460825,7.045320392921592
THA,10.0,7.359149978402056,0.3992499565306014,7.519525860730836
THA,20.0,7.214221423028713,0.3267856788439299,7.591990138417507
THA,30.0,7.294737287125015,0.367043610892081,7.551732206369356
THA,40.0,7.230324595847972,0.33483726525355967,7.5839385520078775
THA,50.0,7.14980873175167,0.2945793332054086,7.624196484056029
THA,60.0,7.13370555893241,0.28652774679577836,7.632248070465659
THA,70.0,7.326943632763535,0.383146783711341,7.535629033550096
THA,80.0,7.600697570690963,0.5200237526750551,7.398752064586382
THA,90.0,7.842245162979873,0.6407975488195101,7.2779782684419265
THA,100.0,8.08379275526878,0.7615713449639634,7.157204472297473
CYP,10.0,7.785409542955171,-0.07321173328935499,7.492046899273916
CYP,20.0,7.632086379089535,-0.149873315222173,7.568708481206734
CYP,30.0,7.717265914570445,-0.10728354748171781,7.526118713466278
CYP,40.0,7.649122286185717,-0.14135536167408197,7.5601905276586425
CYP,50.0,7.563942750704807,-0.18394512941453717,7.602780295399098
CYP,60.0,7.5469068436086255,-0.19246308296262776,7.611298248947189
CYP,70.0,7.751337728762809,-0.09024764038553618,7.509082806370097
CYP,80.0,8.040948149397902,0.05455756993201061,7.364277596052551
CYP,90.0,8.296486755840634,0.18232687315337665,7.236508292831184
CYP,100.0,8.552025362283363,0.3100961763747409,7.1087389896098205
HKG,10.0,7.283802228101348,0.8193198810617854,7.844783766590524
